+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
| 309600.000 | 311040.000 |        0 | 0.000000 | 0.892289 |
| 311040.000 | 312480.000 |      900 | 0.009001 | 0.901290 |
| 312480.000 | 313920.000 |      900 | 0.009001 | 0.910291 |
| 313920.000 | 315360.000 |     1050 | 0.010501 | 0.920792 |
| 315360.000 | 316800.000 |      480 | 0.004800 | 0.925593 |
| 316800.000 | 318240.000 |      390 | 0.003900 | 0.929493 |
| 318240.000 | 319680.000 |       30 | 0.000300 | 0.929793 |
| 319680.000 | 321120.000 |      600 | 0.006001 | 0.935794 |
| 321120.000 | 322560.000 |      930 | 0.009301 | 0.945095 |
| 322560.000 | 324000.000 |      990 | 0.009901 | 0.954995 |
| 324000.000 | 325440.000 |      660 | 0.006601 | 0.961596 |
| 325440.000 | 326880.000 |      420 | 0.004200 | 0.965797 |
| 326880.000 | 328320.000 |      120 | 0.001200 | 0.966997 |
| 328320.000 | 329760.000 |      420 | 0.004200 | 0.971197 |
| 329760.000 | 331200.000 |      690 | 0.006901 | 0.978098 |
| 331200.000 | 332640.000 |     1080 | 0.010801 | 0.988899 |
| 332640.000 | 334080.000 |      690 | 0.006901 | 0.995800 |
| 334080.000 | 335520.000 |      420 | 0.004200 | 1.000000 |
| 335520.000 | 336960.000 |        0 | 0.000000 | 1.000000 |
| 336960.000 | 338400.000 |        0 | 0.000000 | 1.000000 |
| 338400.000 | 339840.000 |        0 | 0.000000 | 1.000000 |
| 339840.000 | 341280.000 |        0 | 0.000000 | 1.000000 |
| 341280.000 | 342720.000 |        0 | 0.000000 | 1.000000 |
| 342720.000 | 344160.000 |        0 | 0.000000 | 1.000000 |
| 344160.000 | 345600.000 |        0 | 0.000000 | 1.000000 |
| 345600.000 | 347040.000 |        0 | 0.000000 | 1.000000 |
| 347040.000 | 348480.000 |        0 | 0.000000 | 1.000000 |
| 348480.000 | 349920.000 |        0 | 0.000000 | 1.000000 |
| 349920.000 | 351360.000 |        0 | 0.000000 | 1.000000 |
| 351360.000 | 352800.000 |        0 | 0.000000 | 1.000000 |
| 352800.000 | 354240.000 |        0 | 0.000000 | 1.000000 |
| 354240.000 | 355680.000 |        0 | 0.000000 | 1.000000 |
| 355680.000 | 357120.000 |        0 | 0.000000 | 1.000000 |
| 357120.000 | 358560.000 |        0 | 0.000000 | 1.000000 |
| 358560.000 | 360000.000 |        0 | 0.000000 | 1.000000 |
| 360000.000 | 361440.000 |        0 | 0.000000 | 1.000000 |
| 361440.000 | 362880.000 |        0 | 0.000000 | 1.000000 |
| 362880.000 | 364320.000 |        0 | 0.000000 | 1.000000 |
| 364320.000 | 365760.000 |        0 | 0.000000 | 1.000000 |
| 365760.000 | 367200.000 |        0 | 0.000000 | 1.000000 |
| 367200.000 | 368640.000 |        0 | 0.000000 | 1.000000 |
| 368640.000 | 370080.000 |        0 | 0.000000 | 1.000000 |
| 370080.000 | 371520.000 |        0 | 0.000000 | 1.000000 |
| 371520.000 | 372960.000 |        0 | 0.000000 | 1.000000 |
| 372960.000 | 374400.000 |        0 | 0.000000 | 1.000000 |
| 374400.000 | 375840.000 |        0 | 0.000000 | 1.000000 |
| 375840.000 | 377280.000 |        0 | 0.000000 | 1.000000 |
| 377280.000 | 378720.000 |        0 | 0.000000 | 1.000000 |
| 378720.000 | 380160.000 |        0 | 0.000000 | 1.000000 |
| 380160.000 | 381600.000 |        0 | 0.000000 | 1.000000 |
| 381600.000 | 383040.000 |        0 | 0.000000 | 1.000000 |
| 383040.000 | 384480.000 |        0 | 0.000000 | 1.000000 |
| 384480.000 | 385920.000 |        0 | 0.000000 | 1.000000 |
